junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2,0.0,0.74,2.77,4.59,5.67,7.05,8.84,9.81,11.95,12.99,12.6,12.19,12.28,12.03,10.53,8.49,7.0,6.69,6.1,5.8,5.76,5.9,5.42,5.2,5.1,4.82,4.82,4.52,4.34,4.21,3.32,2.37,1.61,0.89,0.43,0.25,0.18,0.18,0.15,0.18,0.24,0.1,0.04,0.05,0.0,0.0,0.0,0.0,0.0
4,0.0,0.61,1.8,3.45,5.51,7.28,9.18,10.65,11.77,11.94,12.49,13.56,13.43,12.07,10.96,10.47,10.26,9.47,9.11,8.45,8.7,8.02,7.24,6.87,7.08,6.73,5.84,4.58,4.09,3.73,3.48,2.9,2.11,1.76,1.33,0.63,0.3,0.22,0.15,0.05,0.09,0.13,0.08,0.05,0.05,0.05,0.01,0.0,0.0
6,0.0,0.54,1.65,3.53,6.24,8.54,11.43,12.94,15.11,17.72,20.48,20.43,20.65,20.33,20.01,19.53,19.03,17.08,15.51,12.89,10.41,8.78,7.15,5.06,2.52,1.93,1.24,0.5,0.18,0.1,0.03,0.03,0.22,0.2,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.9,2.04,4.21,6.06,7.63,9.35,11.3,12.3,13.49,15.62,16.58,16.52,16.3,16.09,15.91,13.75,12.71,10.88,10.13,9.27,8.8,7.58,6.75,4.63,3.49,2.28,1.77,1.49,1.77,1.97,1.78,1.65,1.65,1.55,1.39,0.89,0.39,0.2,0.14,0.01,0.0,0.0,0.04,0.17,0.18,0.05,0.0,0.0
11,0.0,0.74,2.32,3.7,5.04,7.12,8.23,8.07,8.08,8.58,9.49,10.28,9.75,8.82,7.65,6.59,6.15,5.7,5.09,4.74,4.73,3.85,3.45,3.23,2.47,2.0,1.52,1.31,0.97,0.48,0.56,0.89,0.89,0.72,0.48,0.44,0.42,0.27,0.14,0.2,0.25,0.16,0.07,0.05,0.0,0.0,0.0,0.0,0.0
13,0.0,0.46,1.18,1.32,1.96,2.11,2.39,2.37,3.07,3.17,4.06,3.92,2.7,1.98,1.49,1.48,1.7,1.62,1.6,1.62,1.04,1.52,1.33,0.89,0.64,1.13,1.32,0.74,0.5,0.71,0.78,0.37,0.33,0.5,0.48,0.5,0.37,0.06,0.15,0.28,0.17,0.21,0.09,0.15,0.08,0.0,0.0,0.0,0.0
16,0.0,0.38,1.45,2.68,3.57,4.29,5.43,7.27,8.88,8.46,10.07,10.45,11.05,11.39,12.5,11.9,9.91,8.65,7.87,6.2,5.72,5.52,4.16,3.5,3.32,2.87,1.93,3.19,3.42,2.11,1.34,1.78,2.45,2.25,1.53,1.32,0.76,0.6,0.34,0.53,0.55,0.4,0.06,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.57,1.79,2.56,2.81,4.26,5.63,5.86,6.46,7.58,8.03,8.63,7.73,6.34,5.5,5.02,4.89,4.81,4.63,4.9,4.55,4.15,3.71,2.79,1.94,1.34,0.81,0.35,0.3,0.44,0.29,0.02,0.16,0.41,0.54,0.45,0.42,0.2,0.24,0.16,0.18,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.0
20,0.0,0.96,2.76,3.51,4.37,5.29,6.57,8.44,8.37,7.61,8.46,8.71,7.22,7.37,7.83,7.44,7.07,6.91,7.12,6.68,5.93,5.07,4.54,4.44,4.17,3.39,2.78,2.9,2.52,1.78,1.84,2.12,1.66,1.35,1.69,1.66,1.85,1.58,0.79,0.21,0.01,0.09,0.03,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.5,1.48,1.72,0.99,1.04,1.82,1.6,1.92,1.27,1.4,0.63,0.52,0.43,0.1,0.16,0.4,1.09,0.79,0.12,0.07,0.03,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
