junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2,0.0,0.9,2.39,4.64,6.18,7.27,9.01,10.32,11.78,12.21,12.49,13.28,13.39,12.98,11.98,10.19,7.9,6.97,6.31,6.96,6.55,5.57,5.28,5.17,5.2,4.98,4.96,4.81,4.29,3.66,2.79,2.18,1.82,0.78,0.22,0.55,0.64,0.66,0.49,0.8,0.92,0.7,0.51,0.34,0.1,0.09,0.07,0.0,0.0
4,0.0,0.52,1.64,3.56,6.2,8.6,10.28,10.26,11.27,13.62,14.21,14.45,13.9,13.99,13.55,13.04,11.83,11.42,11.32,10.84,10.19,9.37,8.06,7.12,6.58,5.82,4.77,4.21,3.89,3.47,2.97,2.52,1.78,1.16,0.62,0.32,0.07,0.11,0.15,0.21,0.08,0.05,0.05,0.01,0.04,0.05,0.02,0.0,0.0
6,0.0,0.34,2.27,3.83,5.44,7.85,9.33,9.76,13.05,15.84,17.44,18.86,17.05,15.75,16.33,15.62,15.9,15.58,13.71,11.03,8.5,5.98,3.43,2.09,1.52,1.01,0.4,0.01,0.13,0.32,0.11,0.0,0.04,0.15,0.19,0.14,0.08,0.09,0.05,0.09,0.09,0.06,0.08,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,1.03,2.55,4.69,6.01,7.53,8.93,11.22,13.79,14.82,16.25,18.19,18.19,16.42,15.6,14.97,14.63,13.32,11.13,9.24,9.26,9.65,9.74,9.48,8.24,5.99,4.76,4.21,3.84,3.49,2.32,1.68,1.62,1.58,1.63,1.03,0.36,0.12,0.23,0.28,0.18,0.32,0.53,0.43,0.22,0.09,0.04,0.09,0.08
11,0.0,0.79,2.5,3.71,4.98,6.46,7.26,7.75,8.07,9.29,10.1,10.25,8.52,7.36,6.35,5.6,5.67,5.03,4.64,4.67,4.16,3.5,3.09,3.07,2.64,1.97,1.35,0.9,0.99,0.91,0.97,0.78,0.51,0.43,0.55,0.38,0.48,0.52,0.35,0.33,0.29,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.29,1.04,1.54,1.89,2.11,2.78,2.81,2.9,3.45,4.06,2.75,2.12,2.18,1.93,1.43,1.48,1.9,1.29,1.12,0.98,0.95,1.17,1.17,1.04,0.62,0.5,0.71,1.07,0.87,0.83,0.97,0.62,1.05,1.03,0.42,0.54,0.56,0.55,0.75,0.38,0.31,0.1,0.08,0.06,0.0,0.0,0.0,0.0
16,0.0,0.68,1.21,2.45,3.59,4.94,6.38,7.97,8.3,9.31,10.3,10.75,10.02,10.13,9.66,9.85,8.97,8.6,8.19,6.82,6.11,5.18,3.68,2.91,2.8,3.05,3.61,3.36,2.48,2.36,2.6,2.9,2.87,2.32,1.57,1.12,0.72,0.42,0.38,0.27,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.46,0.79,1.99,4.33,6.24,7.12,6.58,6.57,6.67,7.92,8.16,8.0,7.06,6.08,5.4,5.06,4.83,4.8,4.55,3.66,2.96,2.46,1.7,1.03,0.71,0.6,0.32,0.53,0.73,0.77,0.74,0.6,0.35,0.46,0.3,0.22,0.23,0.09,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.98,2.37,3.08,4.13,5.1,6.97,9.39,10.13,10.62,10.94,10.71,10.37,9.5,9.03,9.65,9.34,9.68,8.68,7.46,7.29,7.52,7.54,7.06,6.77,5.99,5.48,4.78,3.7,2.64,2.13,1.75,1.5,1.61,1.69,1.44,1.41,0.83,0.13,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.37,0.47,0.51,1.32,0.74,1.35,1.66,0.95,1.23,1.52,0.22,0.03,0.18,0.54,0.6,1.15,1.39,0.65,0.1,0.1,0.02,0.05,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
