junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2,0.0,0.8,2.19,3.74,5.37,6.99,8.22,10.43,11.02,11.08,11.39,12.02,11.06,8.91,8.64,7.74,7.83,7.24,6.22,6.01,5.89,5.58,5.13,5.13,4.94,5.04,4.83,4.31,3.25,2.57,1.79,1.32,0.78,0.85,0.64,0.48,0.39,0.45,0.4,0.25,0.11,0.22,0.35,0.17,0.12,0.12,0.0,0.0,0.0
4,0.0,0.49,1.58,3.27,5.43,7.73,9.99,11.11,11.7,12.61,13.2,13.11,12.05,10.49,9.95,9.86,9.52,8.91,8.9,8.71,7.86,7.08,7.13,7.01,6.36,5.54,5.15,4.57,4.04,3.61,3.13,2.57,2.19,1.77,1.11,0.46,0.22,0.2,0.18,0.33,0.39,0.29,0.14,0.02,0.0,0.0,0.0,0.0,0.0
6,0.0,0.55,2.07,4.36,6.62,6.96,8.67,10.51,12.9,16.21,19.46,21.93,21.46,19.47,18.57,18.88,18.78,16.89,14.19,11.9,9.97,8.53,6.56,5.28,4.4,3.6,2.87,2.26,1.6,0.63,0.18,0.17,0.03,0.0,0.06,0.11,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,1.45,3.05,4.56,6.06,7.35,9.05,11.06,13.36,13.98,14.78,14.28,14.07,15.41,15.55,14.97,14.22,14.46,14.65,13.09,11.2,9.42,7.4,6.03,4.87,3.73,2.77,2.04,1.91,1.84,1.77,1.57,1.53,1.62,1.61,1.51,1.18,0.57,0.26,0.23,0.28,0.2,0.15,0.21,0.18,0.13,0.09,0.09,0.05
11,0.0,0.52,2.06,3.91,5.37,6.73,7.24,7.54,8.73,10.18,10.51,10.26,9.87,9.08,8.47,7.77,7.16,6.09,5.45,5.0,4.29,4.25,4.28,3.5,2.68,2.09,1.2,0.65,0.66,0.54,0.32,0.28,0.48,0.51,0.39,0.4,0.43,0.22,0.14,0.18,0.2,0.11,0.12,0.19,0.12,0.03,0.0,0.0,0.0
13,0.0,0.49,1.52,1.74,2.16,2.5,2.68,2.85,3.37,3.02,3.13,3.17,1.84,2.05,1.96,1.94,1.92,1.68,1.12,0.9,1.05,1.54,1.31,0.98,1.18,0.99,1.02,0.78,0.62,0.32,0.35,0.43,0.68,0.65,0.49,0.45,0.51,0.24,0.05,0.13,0.1,0.09,0.13,0.05,0.0,0.0,0.0,0.0,0.0
16,0.0,0.53,0.99,1.82,2.9,3.84,5.01,6.57,6.38,6.9,9.19,10.0,9.57,10.19,9.67,8.91,7.55,7.5,7.41,6.83,6.21,5.21,3.97,3.48,3.33,3.27,2.88,2.59,2.51,2.68,2.62,2.4,2.21,1.96,1.31,1.09,0.84,0.52,0.26,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.32,1.22,2.04,2.89,4.05,5.71,7.18,7.95,7.13,6.9,7.11,7.34,7.09,6.72,5.66,4.89,4.54,5.24,5.03,3.81,2.75,1.67,1.4,1.23,0.99,0.46,0.37,0.5,0.27,0.15,0.33,0.42,0.2,0.34,0.23,0.06,0.07,0.01,0.03,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.7,2.67,3.57,3.47,5.14,6.12,8.35,8.44,9.46,10.38,10.57,9.95,9.89,10.43,10.1,8.76,9.29,9.83,9.43,8.93,9.05,8.16,6.87,6.88,6.14,5.91,5.37,4.74,4.37,3.72,2.95,2.22,1.7,1.29,1.34,0.9,0.19,0.0,0.14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.02,0.4,0.18,0.5,0.53,1.14,1.64,0.82,1.14,0.84,0.98,0.62,0.49,0.19,0.14,0.54,0.45,0.17,0.08,0.05,0.1,0.04,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,1.57,3.92,5.5,8.84,12.47,14.43,14.25,14.81,18.38,18.59,19.8,19.44,16.81,19.89,18.5,18.32,16.23,11.08,7.17,3.66,4.32,2.58,2.71,1.57,1.32,0.39,0.36,0.7,0.61,0.0,0.42,0.34,0.84,0.04,0.0,0.1,0.48,0.12,0.39,0.22,0.0,0.29,0.04,0.09,0.24,0.0,0.0,0.0
40,0.0,0.0,0.02,0.04,0.06,0.28,0.27,0.16,0.14,0.1,0.2,0.21,0.1,0.12,0.16,0.06,0.16,0.08,0.08,0.08,0.18,0.06,0.04,0.06,0.06,0.02,0.0,0.02,0.04,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.02,0.02,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0
46,0.0,0.0,0.42,0.38,1.31,1.14,3.61,2.28,2.75,2.86,4.47,14.78,23.01,29.34,26.87,24.99,22.71,16.3,9.25,1.34,0.16,0.18,0.0,0.0,0.06,0.02,0.0,0.06,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.46,2.0,5.15,6.19,4.04,6.31,9.06,10.55,12.14,16.62,22.14,21.44,19.69,20.92,19.08,17.39,16.08,15.92,12.8,9.3,6.51,2.68,1.12,1.02,0.7,0.18,0.01,0.0,0.07,0.59,0.6,0.09,0.0,0.21,0.38,0.46,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.79,2.63,5.21,8.23,10.92,10.96,14.34,15.99,15.81,14.65,12.1,10.6,11.87,12.62,11.11,7.8,9.22,10.1,9.85,9.17,8.41,7.15,6.77,5.98,5.67,5.89,5.73,5.75,6.24,6.09,5.47,5.23,4.11,2.54,0.89,0.42,0.31,0.51,1.56,1.8,1.26,0.65,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.87,2.74,4.54,4.92,5.9,6.59,14.0,21.89,22.12,17.0,13.03,9.57,7.86,10.0,8.8,3.61,1.23,0.64,0.04,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.41,1.68,4.21,6.63,7.64,6.34,6.05,6.65,8.48,8.67,7.56,6.02,6.39,5.81,3.26,0.95,1.04,1.94,1.0,1.36,1.04,0.53,0.73,0.33,0.01,0.51,0.8,0.77,0.27,0.02,0.14,0.5,0.62,0.3,0.85,0.72,0.49,0.98,0.07,0.32,0.46,0.01,0.5,0.27,0.0,0.0,0.0,0.0
81,0.0,0.0,0.1,0.36,2.12,0.91,1.08,1.36,3.39,2.97,3.82,2.76,2.97,4.84,3.59,1.22,2.69,2.24,2.22,1.91,0.71,0.17,0.04,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.1,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.42,0.69,2.17,2.91,1.89,2.98,3.0,3.93,4.41,5.27,4.43,2.44,2.43,0.4,0.34,0.02,0.06,0.0,0.04,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.0,3.38,2.07,1.4,2.13,2.07,2.69,1.34,2.87,2.4,2.84,4.21,1.32,1.49,3.41,2.88,1.84,1.41,1.68,1.82,1.52,2.68,1.55,0.22,0.82,2.07,0.0,0.27,0.51,0.0,0.0,0.67,0.11,0.56,0.22,0.0,0.0,0.1,1.32,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.0,0.81,1.63,3.39,5.89,6.98,8.51,9.75,10.43,11.33,11.85,10.73,11.06,9.5,8.38,8.07,7.29,5.0,4.1,4.05,3.64,4.56,4.45,3.22,1.94,1.68,1.25,0.92,1.74,1.75,0.73,0.42,0.76,0.4,0.22,0.61,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.0,3.39,6.84,10.8,14.68,16.57,17.28,18.57,21.34,20.79,20.94,21.39,16.96,12.39,9.68,7.68,10.32,10.13,11.76,12.72,13.46,10.37,6.16,9.38,8.97,3.63,2.7,2.49,0.8,0.0,0.0,0.0,0.0,0.0,1.04,2.3,2.12,0.77,0.0,0.87,1.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.53,1.0,1.61,1.02,2.33,3.32,2.34,2.71,3.52,1.62,0.38,0.24,1.46,0.07,0.13,0.0,0.03,0.14,0.25,0.65,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.82,1.0,1.25,1.75,0.53,0.61,1.14,1.04,1.03,0.97,0.12,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.51,0.52,1.45,1.68,0.77,1.59,2.18,1.8,4.38,3.58,2.09,0.04,0.02,0.06,0.02,0.04,0.02,0.08,0.02,0.02,0.04,0.04,0.0,0.04,0.02,0.04,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,0.19,0.56,0.83,0.92,1.23,1.51,3.69,1.28,1.94,2.59,0.83,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.53,2.08,3.81,6.59,5.92,5.11,7.1,9.82,8.04,6.25,8.8,9.37,6.46,5.59,6.17,6.13,6.24,6.06,3.42,2.37,1.92,2.32,2.94,2.92,2.41,1.35,1.67,2.21,1.21,0.95,0.64,0.51,0.8,1.34,1.28,1.22,1.35,1.29,0.99,0.78,0.6,0.16,0.01,0.0,0.0,0.0,0.0,0.0
140,0.0,1.5,1.14,2.92,3.44,4.28,2.97,5.69,8.97,3.88,4.81,5.04,4.38,6.57,1.86,2.61,1.42,2.3,3.06,2.13,2.52,5.94,4.01,2.17,2.2,2.17,3.36,1.65,1.18,0.0,0.0,1.02,2.85,2.29,2.26,0.0,0.13,1.0,0.54,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
