junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2,0.0,0.99,2.71,4.53,6.18,7.67,9.62,11.19,11.52,11.72,11.73,13.4,14.24,12.93,10.67,8.3,7.2,6.82,6.8,5.95,6.02,5.74,5.38,5.78,5.41,5.17,4.48,3.31,2.67,1.65,1.01,0.7,0.5,0.45,0.54,0.44,0.48,0.53,0.27,0.24,0.18,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.44,1.42,3.04,4.89,7.69,9.7,10.99,10.98,11.09,12.56,12.9,11.59,11.15,10.84,11.08,10.5,10.33,9.77,9.93,9.7,8.34,7.02,5.96,5.38,4.72,4.33,3.73,3.1,2.4,1.73,1.1,0.63,0.28,0.16,0.19,0.32,0.31,0.1,0.04,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.54,1.95,3.34,4.77,6.22,8.46,10.67,13.67,16.42,18.61,18.97,20.58,21.66,21.25,19.42,18.77,16.96,14.39,11.22,8.48,5.15,3.86,3.42,2.56,1.64,1.11,0.65,0.25,0.24,0.18,0.26,0.3,0.12,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.86,2.46,4.4,5.47,8.09,10.3,11.22,13.65,14.49,14.27,15.18,14.07,14.1,12.56,12.35,12.44,10.76,10.19,10.43,9.87,10.39,10.83,9.92,7.88,6.22,5.02,4.63,3.81,2.88,1.63,1.5,1.4,0.69,0.31,0.26,0.16,0.21,0.26,0.3,0.33,0.21,0.2,0.08,0.0,0.0,0.0,0.0,0.0
11,0.0,0.49,1.76,3.27,5.4,6.47,7.01,7.61,8.42,9.37,10.12,9.13,7.11,7.16,7.35,6.51,6.04,5.17,4.43,4.74,4.62,3.71,3.07,2.6,2.17,1.47,0.97,1.05,0.95,1.07,0.92,0.53,0.37,0.35,0.48,0.53,0.5,0.38,0.3,0.26,0.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.56,1.59,2.08,1.74,2.42,2.5,2.47,3.02,3.54,3.74,3.22,2.67,2.53,2.36,2.4,1.66,1.26,1.15,1.4,1.74,1.63,0.91,1.05,1.13,0.76,0.83,0.97,0.87,0.66,0.59,0.75,0.59,0.82,0.85,0.41,0.19,0.04,0.09,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.86,2.18,3.19,4.24,5.1,6.84,7.83,7.53,8.6,9.23,8.94,9.26,9.42,8.98,9.24,9.06,9.75,9.84,7.88,6.75,5.74,3.66,2.99,3.04,2.88,2.67,2.59,2.36,2.19,2.34,2.6,2.03,0.97,0.59,0.51,0.6,0.41,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.67,1.76,2.35,3.01,3.79,5.62,6.74,7.18,8.03,8.11,8.79,7.67,6.61,5.46,5.29,5.2,5.04,4.6,4.42,3.71,3.68,3.14,2.4,1.37,0.63,0.67,0.56,0.6,0.6,0.47,0.38,0.31,0.33,0.25,0.25,0.14,0.15,0.14,0.24,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,1.0,2.33,3.2,4.98,5.39,5.59,6.14,7.27,7.75,9.1,9.37,8.55,7.87,6.55,7.07,7.74,7.21,7.35,7.25,6.79,6.55,5.87,5.84,4.88,4.11,3.12,2.83,2.38,1.91,1.41,1.5,1.5,1.77,1.46,1.03,0.32,0.04,0.15,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.25,0.35,0.34,0.95,0.27,0.03,0.82,0.55,0.63,0.72,0.35,0.3,0.95,0.57,0.16,1.01,1.26,0.56,0.18,0.1,0.01,0.06,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
