junction,0,300,600,900,1200,1500,1800,2100,2400,2700,3000,3300,3600,3900,4200,4500,4800,5100,5400,5700,6000,6300,6600,6900,7200,7500,7800,8100,8400,8700,9000,9300,9600,9900,10200,10500,10800,11100,11400,11700,12000,12300,12600,12900,13200,13500,13800,14100,14400
2,0.0,0.83,2.36,4.72,6.36,8.3,10.47,10.58,10.74,11.61,13.08,11.57,10.26,9.96,9.51,8.37,7.07,6.73,5.98,5.75,5.73,5.77,5.12,5.27,5.51,5.27,5.02,4.73,3.93,3.86,3.78,3.77,3.14,2.36,1.96,1.48,0.97,0.33,0.36,0.55,0.67,0.44,0.25,0.17,0.26,0.1,0.0,0.1,0.22
4,0.0,0.38,1.45,3.32,5.54,7.15,8.65,10.03,11.36,11.95,12.74,13.95,14.46,13.49,12.6,12.05,11.5,10.54,10.54,9.55,7.37,5.9,6.36,6.07,5.43,5.05,4.79,4.21,3.52,2.94,2.35,1.98,1.56,1.02,0.9,1.09,1.17,0.95,0.74,0.35,0.17,0.03,0.03,0.08,0.11,0.09,0.02,0.0,0.0
6,0.0,0.29,1.6,3.12,5.33,7.59,9.86,12.69,13.86,16.38,18.63,20.01,20.17,19.15,18.66,18.11,16.86,15.36,13.94,11.99,10.78,8.95,5.88,4.72,3.54,2.79,2.32,1.43,0.93,0.4,0.15,0.2,0.19,0.2,0.18,0.09,0.08,0.09,0.01,0.0,0.0,0.0,0.05,0.08,0.0,0.0,0.0,0.0,0.0
8,0.0,0.94,2.16,3.66,6.34,8.67,9.83,11.25,12.82,14.46,15.45,16.58,17.16,15.96,14.97,15.53,15.12,14.58,12.74,11.12,10.98,11.72,10.29,8.29,7.27,6.52,6.13,5.42,5.01,4.31,3.17,1.95,1.42,1.31,1.17,0.72,0.35,0.35,0.25,0.02,0.08,0.33,0.49,0.45,0.14,0.0,0.0,0.0,0.0
11,0.0,0.6,1.9,3.34,5.29,6.68,7.18,8.14,9.11,9.37,10.0,9.79,9.61,9.46,8.27,7.01,6.61,5.75,6.07,6.15,5.67,4.72,4.1,3.78,3.17,2.83,2.28,1.84,1.65,1.28,1.08,0.63,0.49,0.59,0.61,0.49,0.27,0.34,0.33,0.14,0.07,0.1,0.11,0.12,0.03,0.0,0.04,0.01,0.0
13,0.0,0.42,1.46,1.67,1.97,2.15,2.09,2.98,3.45,3.43,3.73,3.07,2.04,1.77,1.24,2.18,1.56,1.19,1.52,1.87,0.98,1.03,1.5,1.21,1.14,0.92,0.95,0.66,0.41,0.46,0.33,0.62,0.62,0.75,1.11,0.8,0.44,0.51,0.56,0.58,0.26,0.05,0.17,0.03,0.02,0.13,0.18,0.16,0.0
16,0.0,0.42,1.91,2.46,2.69,3.26,5.12,7.2,7.99,9.01,9.9,9.99,10.51,10.35,9.51,9.04,8.41,8.31,7.2,5.78,4.76,3.14,3.03,3.27,3.52,3.24,3.07,2.82,2.75,2.97,2.38,1.84,1.05,0.96,0.89,0.64,0.44,0.4,0.55,0.69,0.81,0.78,0.65,0.33,0.06,0.0,0.0,0.0,0.0
18,0.0,0.38,1.33,2.2,3.4,4.95,5.5,6.48,6.87,7.79,8.43,8.94,8.88,8.61,7.14,6.43,5.61,5.75,5.18,4.92,3.68,2.92,1.73,1.13,0.84,0.69,0.52,0.5,0.53,0.48,0.52,0.46,0.48,0.41,0.25,0.2,0.27,0.15,0.19,0.3,0.16,0.21,0.22,0.24,0.07,0.04,0.0,0.0,0.0
20,0.0,0.5,2.27,3.33,3.24,5.31,6.64,7.76,8.55,8.45,9.14,8.26,6.94,7.66,7.73,6.89,7.76,8.15,6.19,6.12,7.38,7.54,6.24,5.08,5.04,4.68,4.39,3.74,2.72,2.69,2.55,1.99,1.6,1.68,1.62,1.33,1.23,1.34,1.43,1.32,1.0,0.48,0.11,0.08,0.0,0.0,0.0,0.0,0.0
24,0.0,0.01,0.01,0.53,0.68,1.2,1.0,0.57,1.54,1.53,1.1,0.95,0.43,0.34,0.63,0.4,0.95,1.07,1.21,0.29,0.05,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
